Edad,qx,lx,dx,Dx,Cx,Nx,Mx,Rx
80,0.08005169,1574737.0772871873,126060.36434249995,31773.431994508934,2422.3970745338193,202940.09933587923,22109.617740419435,1096674.8325195413
81,0.08593481,1448676.7129446873,124491.75807832625,27838.014348808018,2278.3375941353247,171166.6673413703,19687.220665885616,893734.733183662
82,0.09222398,1324184.954866361,122121.60679389618,24234.057023777073,2128.5344669330248,143328.65299256227,17408.883071750293,722568.0658422918
83,0.09885844,1202063.348072465,118834.1073716209,20951.519841426092,1972.604349668982,119094.59596878522,15280.348604817267,579239.4128497295
84,0.10576601,1083229.2407008442,114568.83470425788,17981.224070736822,1811.2403094074198,98143.07612735912,13307.744255148285,460144.8168809443
85,0.11424258,968660.4059965863,110662.26392489749,15313.734996056217,1666.171995605478,80161.8520566223,11496.503945740866,362001.7407535852
86,0.121534,857998.1420716888,104275.94619854062,12918.337524448061,1495.2545073297815,64848.11706056608,9830.331950135389,281839.8886969629
87,0.12964852,753722.1958731482,97718.96718610376,10807.924087382658,1334.5060592395353,51929.77953611802,8335.077442805607,216991.7716363968
88,0.13990696,656003.2286870445,91779.41747578917,8958.754976362996,1193.7068325026842,41121.85544873536,7000.571383566072,165061.9921002788
89,0.15006501,564223.8112112553,84670.25187165513,7338.440764033502,1048.8030348943762,32163.100472372364,5806.864551063387,123940.13665154342
90,0.16293381,479553.5593396001,78135.48852226214,5940.188168947053,921.7690385556829,24824.659708338862,4758.061516169011,91777.03617917106
91,0.17478192,401418.070817338,70160.62114015031,4735.553027108177,788.2752860378849,18884.47153939181,3836.292477613328,66952.3764708322
92,0.18747762,331257.4496771877,62103.35827274893,3721.7752159699025,664.5233901571652,14148.918512283633,3048.017191575443,48067.90493144039
93,0.20106321,269154.0914044388,54116.98560240987,2880.0244345760752,551.4923406612387,10427.14329631373,2383.493801418278,33918.986419156754
94,0.21557974,215037.1058020289,46357.64335915388,2191.388073220737,449.9227343466929,7547.118861737655,1832.0014607570395,23491.843122843024
95,0.23386842,168679.46244287502,39448.79936796452,1637.1135258635334,364.6372891946035,5355.7307885169175,1382.0787264103465,15944.72426110537
96,0.25056103,129230.66307491051,32380.168047632545,1194.5184497230473,285.04740296819995,3718.6172626533844,1017.441437215743,10588.993472588452
97,0.26830449,96850.49502727795,25985.422674541347,852.5892158156544,217.86049021801819,2524.0988129303373,732.394034247543,6870.376209935069
98,0.28712621,70865.0723527366,20347.219646017045,594.1292391302242,162.4667396968047,1671.509597114683,514.5335440295248,4346.277397004731
99,0.30704706,50517.85270671956,15511.358151111282,403.37063090340865,117.95596791355884,1077.3803579844587,352.06680433272015,2674.767799890048
100,0.3320466,35006.49455560828,11623.787495108241,266.2065377087352,84.18378642281647,674.0097270810501,234.11083641916133,1597.3874419055896
101,0.35446258,23382.70706050004,8288.294672049062,169.34624949026463,57.16848429299323,407.8031893723149,149.92704999634486,923.3777148245396
102,0.37799926,15094.412388450979,5705.676712969303,104.11365807868737,37.48084353298747,238.45693988205025,92.75856570335164,515.5745254522246
103,0.40263525,9388.735675481677,3780.2359358814842,61.67502130385764,23.650035829937185,134.34328180336288,55.277722170364164,277.1175855701744
104,0.42833402,5608.499739600194,2402.311239631904,35.08807969754628,14.313731648505122,72.66826049950524,31.627686340426976,142.77430376681153
105,0.45504205,3206.1884999682898,1458.9505877119955,19.10348711106276,8.2789427973015,37.58018080195897,17.313954691921854,70.10604326730629
106,0.48268701,1747.2379122562943,843.3690436256331,9.914854451329699,4.557877571140498,18.476693690896205,9.035011894620354,32.52586246534733
107,0.51117625,903.8688686306612,462.036298758364,4.884840953935405,2.3781092196944025,8.561839239566508,4.477134323479856,14.049168774451124
108,0.54039544,441.83256987229714,238.76430600247073,2.2741202602440778,1.170404017759536,3.676998285631103,2.0990251037854537,5.487329534884615
109,0.57020773,203.0682638698264,115.79109377625474,0.995424801520538,0.5405703966292633,1.402878025387025,0.9286210860259176,1.810331249253512
110,1,87.27717009357167,87.27717009357167,0.407453223866487,0.3880506893966543,0.407453223866487,0.3880506893966543,0.407453223866487
