"Edad","exposicion","muertes","qx_crudo","qx_graduado"
56,96857.4120465435,507,0.00523449872639967,5.43418022908132e-08
57,97776.832991102,519,0.00530800583454396,5.81095727978328e-08
58,97780.3073237509,587,0.00600325378459327,6.32548213405052e-08
59,96780.5195071869,603,0.00623059271711413,7.02015925878809e-08
60,95548.2464065708,705,0.00737847136409106,7.87742464119917e-08
61,93356.2176591376,746,0.00799089786096301,8.99619037175873e-08
62,90559.9342915811,763,0.00842535947015293,1.04092668185689e-07
63,87181.3675564682,797,0.00914186164244069,1.21922250294199e-07
64,80862.6632443532,899,0.0111176155215588,1.48710512890675e-07
65,72999.5270362765,1175,0.0160959946961861,1.86733395607455e-07
66,65164.6728268309,1180,0.018107970911413,2.37294689297012e-07
67,57560.6851471595,1137,0.0197530657790669,3.04561465518197e-07
68,50201.9965776865,1110,0.0221106743888622,3.95147890418954e-07
69,43485.5106091718,1025,0.0235710696653016,5.14554661040287e-07
70,38341.7063655031,1028,0.0268115349431844,6.55318420386767e-07
71,33773.5215605749,958,0.0283654163301202,8.3058499706953e-07
72,29824.1437371663,882,0.0295733553248963,1.04268844554766e-06
73,25942.2532511978,813,0.0313388352248262,1.31776899596359e-06
74,22618.4620123203,786,0.0347503733707386,1.64664328969756e-06
75,19802.0978781656,668,0.0337337995251784,2.03356011605971e-06
76,17329.5208761123,679,0.039181694915522,2.49768322854403e-06
77,15073.7371663244,656,0.043519400183356,3.07375198716617e-06
78,13110.4661190965,617,0.0470616371984888,3.7740504879986e-06
79,11259.0150581793,582,0.0516919106149694,4.6902049636655e-06
80,9545.77754962355,540,0.0565695143421078,5.91068315234572e-06
81,7999.77070499658,475,0.0593767018476317,7.55750905846882e-06
82,6546.24435318275,462,0.0705748174180785,9.9421833201978e-06
83,5209.45585215606,401,0.0769754099814545,1.35353656950996e-05
84,4056.3401779603,363,0.0894895359053766,1.89865935633333e-05
85,3055.24366872005,266,0.0870634321980074,2.78064408760001e-05
86,2303.53867214237,257,0.111567477945131,4.11582051297061e-05
87,1728.03148528405,194,0.112266472950353,6.2054300180476e-05
88,1268.31416837782,168,0.132459294541251,9.70619483011308e-05
89,879.954140999316,134,0.152280662998896,0.000162490579721101
90,592.924709103354,92,0.155163039400275,0.000281087940865435
91,383.258726899384,72,0.187862649814891,0.000504468036840315
92,248.997262149213,39,0.156628228211718,0.000889067507869905
93,175.015058179329,30,0.171413821828179,0.00141764146675699
94,118.134154688569,30,0.253948572951551,0.00228495169462283
95,72.2464065708419,18,0.249147339699864,0.00391322068558869
96,45.4613278576318,10,0.219967178066517,0.00621846550820421
97,33.5462012320329,2,0.0596192691436616,0.00797852609907457
98,24.0417522245038,9,0.374348754448399,0.0098968215599723
99,13,5,0.384615384615385,0.0151516092920358
100,8.34633812457221,2,0.239626045596195,0.0180418085083121
102,2.50376454483231,1,0.399398578458174,0.0267786348017113
