"Edad","qx","px","lx","dx","Dx","Cx","Nx","Mx","ex"
15,4.23267505355746e-09,0.999999995767325,9999999.65121833,0.0423267490592951,4810170.81313975,0.0193903714325017,99913664.8447756,52377.249102815,20.2713340598728
16,5.41168437220913e-09,0.999999994588316,9999999.60889158,0.054116841605536,4581115.04074273,0.0236109987364568,95103494.0316358,52377.2297124436,20.2599008507363
17,6.76445440590403e-09,0.999999993235546,9999999.55477474,0.0676445410473343,4362966.68185826,0.0281077039941987,90522378.9908931,52377.2061014448,20.2478960055542
18,8.30250591808547e-09,0.999999991697494,9999999.4871302,0.0830250549227501,4155206.33556683,0.0328558335161046,86159412.3090348,52377.1779937408,20.2352909460948
19,1.00902467743242e-08,0.999999989909753,9999999.40410514,0.100902461730516,3957339.33435067,0.0380290766222267,82004205.973468,52377.1451379073,20.2220556654446
20,1.21697196365163e-08,0.99999998783028,9999999.30320268,0.121697187885335,3768894.56611442,0.0436822763897163,78046866.6391173,52377.1071088307,20.2081586576672
21,1.46319729986048e-08,0.999999985368027,9999999.18150549,0.146319718009859,3589423.35261717,0.050019376739101,74277972.0730029,52377.0634265543,20.1935668423855
22,1.75294558277041e-08,0.999999982470544,9999999.03518578,0.175294541364373,3418498.3810446,0.057070872731047,70688548.7203857,52377.0134071776,20.1782454870683
23,2.04667242457767e-08,0.999999979533276,9999998.85989124,0.204667219123475,3255712.68678112,0.0634607369369772,67270050.3393411,52376.9563363048,20.1621581236181
24,2.34997339950013e-08,0.999999976500266,9999998.65522402,0.234997308348135,3100678.68585462,0.0693953564967178,64014337.65256,52376.8928755679,20.14526645234
25,2.65895620145482e-08,0.999999973410438,9999998.42022671,0.265895578140002,2953027.25046619,0.0747806678161157,60913658.9667054,52376.8234802114,20.1275302596985
26,2.94372067550106e-08,0.999999970562793,9999998.15433113,0.29437201321877,2812406.83042522,0.0788470489013631,57960631.7162392,52376.7486995436,20.1089073206652
