"Edad","qx","px","lx","dx","Dx","Cx","Nx","Mx","ex"
33,0.01260603,0.98739397,7576050.11542606,95503.9150365644,1514244.37671629,18179.6286097304,22313799.1099214,451682.106885861,14.2359299813349
34,0.01274172,0.98725828,7480546.2003895,95315.0251324268,1423957.87302483,17279.6881046457,20799554.7332051,433502.47827613,14.1068610084803
35,0.0128699,0.9871301,7385231.17525707,95047.186702441,1338870.6671571,16410.6015230906,19375596.8601802,416222.790171484,13.971597097068
36,0.01313684,0.98686316,7290183.98855463,95769.980628204,1258704.31957891,15747.9973843972,18036726.1930231,399812.188648394,13.8295974379886
37,0.01348688,0.98651312,7194414.00792642,97030.1983952227,1183018.02126218,15195.4496100957,16778021.8734442,384064.191263997,13.6823890861303
38,0.01392834,0.98607166,7097383.8095312,98854.7748096458,1111488.38016341,14743.9886333003,15595003.852182,368868.741653901,13.5307394395695
39,0.01446344,0.98553656,6998529.03472156,101222.804781953,1043816.37342709,14378.2623696003,14483515.4720186,354124.753020601,13.3755396454128
40,0.01491453,0.98508547,6897306.2299396,102870.080685621,979732.569465726,13916.4293326416,13439699.0985915,339746.490651,13.2177220778937
41,0.01560964,0.98439036,6794436.14925398,106058.702292841,919162.208253764,13664.5630213774,12459966.5291258,325830.061318359,13.0557863641907
42,0.01637149,0.98362851,6688377.44696114,109498.70448915,861728.016267922,13435.9729533811,11540804.320872,312165.498296981,12.8926298124255
43,0.01718933,0.98281067,6578878.74247199,113086.517734336,807257.375873211,13215.4413607797,10679076.3046041,298729.5253436,12.7288370769639
44,0.01805512,0.98194488,6465792.22473765,116740.654512705,755601.107089897,12992.8272958485,9871818.9287309,285514.083982821,12.5648550354181
45,0.01883983,0.98116017,6349051.57022495,119615.052244271,706627.27469453,12678.7978367698,9116217.821641,272521.256686972,12.4010273847438
46,0.01978603,0.98021397,6229436.51798068,123255.817827861,660299.559015163,12442.5779844389,8409590.54694647,259842.458850202,12.2360232672113
47,0.02077704,0.97922296,6106180.70015282,126868.360654303,616414.144887145,12197.3917570343,7749290.98793131,247399.880865763,12.071565808812
48,0.02181627,0.97818373,5979312.33949851,130446.292412831,574863.698611676,11944.1730115342,7132876.84304416,235202.489108729,11.9079444575652
49,0.02290607,0.97709393,5848866.04708568,133974.535095168,535545.06376149,11683.0787796906,6558013.14443249,223258.316097195,11.7454926544765
50,0.02419355,0.97580645,5714891.51199051,138263.513539918,498359.839088395,11482.9463666448,6022468.080671,211575.237317504,11.5845774645231
51,0.02537782,0.97462218,5576627.9984506,141522.661551639,463145.471812779,11193.9261118855,5524108.2415826,200092.29095086,11.4273718038544
52,0.02658361,0.97341639,5435105.33689896,144484.72058504,429896.999424095,10884.0134979622,5060962.76976982,188898.364838974,11.2725008003072
53,0.02778798,0.97221202,5290620.61631392,147015.659873719,398541.700239271,10547.3036146808,4631065.77034573,178014.351341012,11.1200281364921
54,0.02896646,0.97103354,5143604.9564402,148992.027226527,369016.22042272,10180.0891316437,4232524.07010646,167467.047726331,10.9697507476988
55,0.03023407,0.96976593,4994612.92921367,151007.476924751,341263.930318566,9826.47386450155,3863507.84968374,157286.958594687,10.821172577709
56,0.03130672,0.96869328,4843605.45228892,151637.399685283,315186.793105561,9397.58540900355,3522243.91936517,147460.484730186,10.6750999610746
57,0.03230843,0.96769157,4691968.05260364,151590.121389781,290780.312786769,8947.29083909469,3207057.12625961,138062.899321182,10.52914119434
58,0.033239,0.966761,4540377.93121386,150917.622055617,267986.340386399,8483.42663628907,2916276.81347284,129115.608482087,10.3821845518991
59,0.03410416,0.96589584,4389460.30915824,149698.856697182,246741.659445996,8014.20669753501,2648290.47308644,120632.181845798,10.2330496156693
60,0.03568219,0.96431781,4239761.45246106,151283.973701391,226977.849917699,7713.39692052841,2401548.81364045,112617.975148263,10.0805426146703
61,0.03646622,0.96353378,4088477.47875967,149091.319205495,208455.983953471,7239.62073444165,2174570.96372275,104904.578227735,9.93179918600049
62,0.03722138,0.96277862,3939386.15955417,146629.389211506,191289.887792673,6781.02247970329,1966114.97976928,97664.9574932933,9.7781961056939
63,0.03796311,0.96203689,3792756.77034266,143984.842475763,175399.823037129,6341.64073898957,1774825.09197661,90883.93501359,9.61873935357912
64,0.03870763,0.96129237,3648771.9278669,141235.313738259,160705.809772561,5924.32478431113,1599425.26893948,84542.2942746005,9.45250433822561
65,0.04007493,0.95992507,3507536.61412864,140564.284283642,147128.827380033,5615.40710308277,1438719.45916692,78617.9694902893,9.27863743486998
66,0.0408964,0.9591036,3366972.329845,137697.047190273,134507.285639806,5238.91786327596,1291590.63178688,73002.5623872066,9.1023841804793
67,0.04178883,0.95821117,3229275.28265473,134947.63581006,122863.258936539,4889.82080090001,1157083.34614708,67763.6445239306,8.91765142942146
68,0.04278337,0.95721663,3094327.64684467,132385.764616185,112122.806757709,4568.56335900338,1034220.08721054,62873.8237230306,8.72399391450689
69,0.04391568,0.95608432,2961941.88222848,130075.691878544,102215.062124529,4275.08948518183,922097.280452828,58305.2603640272,8.52114875525328
70,0.04529994,0.95470006,2831866.19034994,128283.368510881,93072.588728655,4015.41208100262,819882.2183283,54030.1708788454,8.30906214738041
71,0.04683533,0.95316467,2703582.82183906,126623.193643163,84625.1486129545,3774.71120151121,726809.629599645,50014.7587978428,8.08857729070367
72,0.04864091,0.95135909,2576959.62819589,125345.66134871,76820.668429874,3558.69258974985,642184.48098669,46240.0475963316,7.85952737866256
73,0.05076533,0.94923467,2451613.96684718,124456.992059606,69603.848772035,3365.20224017376,565363.812556816,42681.3550065817,7.62259411700758
74,0.0532563,0.9467437,2327156.97478758,123935.76999638,62924.1775427167,3191.53226330303,495759.963784781,39316.152766408,7.37868802016888
75,0.05714919,0.94285081,2203221.2047912,125912.307244641,56736.2558726176,3088.02958738366,432835.786242065,36124.6205031049,7.12890993748078
76,0.06055723,0.93944277,2077308.89754656,125796.072689773,50946.4998151093,2938.26562571289,376099.530369447,33036.5909157213,6.88224474172623
77,0.06444797,0.93555203,1951512.82485678,125771.039990985,45582.2103886769,2797.79135967918,325153.030554338,30098.3252900084,6.63333179285902
78,0.06883571,0.93116429,1825741.7848658,125676.232037904,40613.8375819179,2662.55461502476,279570.820165661,27300.5339303292,6.383634662737
79,0.07371979,0.92628021,1700065.55282789,125328.475540706,36017.2907010875,2528.7496255744,238956.982583743,24637.9793153044,6.13450742497208
80,0.08005169,0.91994831,1574737.07728719,126060.3643425,31773.4319945089,2422.39707453382,202939.691882655,22109.22968973,5.88708754904813
81,0.08593481,0.91406519,1448676.71294469,124491.758078326,27838.014348808,2278.33759413532,171166.259888146,19686.8326151962,5.64865190251888
82,0.09222398,0.90777602,1324184.95486636,122121.606793896,24234.0570237771,2128.53446693302,143328.245539338,17408.4950210609,5.41433144680286
83,0.09885844,0.90114156,1202063.34807246,118834.107371621,20951.5198414261,1972.60434966898,119094.188515561,15279.9605541279,5.1842744305396
84,0.10576601,0.89423399,1083229.24070084,114568.834704258,17981.2240707368,1811.24030940742,98142.6686741352,13307.3562044589,4.95806382747076
85,0.11424258,0.88575742,968660.405996586,110662.263924897,15313.7349960562,1666.17199560548,80161.4446033984,11496.1158950515,4.73461093090893
86,0.121534,0.878466,857998.142071689,104275.946198541,12918.3375244481,1495.25450732978,64847.7096073422,9829.94389944599,4.51981849325561
87,0.12964852,0.87035148,753722.195873148,97718.9671861038,10807.9240873827,1334.50605923954,51929.3720828941,8334.68939211621,4.30474989119486
88,0.13990696,0.86009304,656003.228687044,91779.4174757892,8958.754976363,1193.70683250268,41121.4479955115,7000.18333287667,4.09008512946356
