edad,Exposicion,Muertes,TasaBruta,TasaWH,MuertesWH,TasaWH2,MuertesWH2
38,37987.31279945243,80,0.0021059662846473616,0.0024187215313344595,91.8807313855727,0.00241625990032902,91.78722063857225
39,39028.15331964408,110,0.002818478217482906,0.0025252807137454403,98.55704287119728,0.0025591772364209095,99.87996155517828
40,40318.27857631759,112,0.002777896377396114,0.0026178006407349837,105.54521549041576,0.0026361531786800382,106.2851582278669
41,42103.580424366875,105,0.0024938496665056226,0.0027031913369587202,113.8140338580933,0.0026646054332527566,112.18942915816238
42,44269.82614647502,117,0.002642883656531281,0.0028044851528231155,124.15407014584974,0.0027533218718977055,121.88908059419857
43,47049.90006844627,144,0.0030605803580988416,0.0029270528150264134,137.7175424420571,0.0029044808884852173,136.65553555394152
44,50054.675564681726,153,0.003056657510491505,0.0030592203682111257,153.12828301167406,0.003039280428909926,152.13019581917305
45,53250.62217659137,163,0.0030609970989532165,0.003203659757171396,170.59687531148447,0.003181782489386723,169.43189719042675
46,56562.736481861735,192,0.0033944609462374514,0.0033631334392168455,190.2280304757598,0.0033756061744841257,190.93352251389098
47,59721.71252566735,217,0.003633519382196838,0.0035187526673395642,210.14593524777865,0.0035632084601340723,212.80091132515292
48,62736.69404517454,237,0.0037776934791837204,0.003653423501082462,229.2037124048608,0.0036917994957886735,231.61129544342364
49,65808.00684462697,236,0.003586189755863556,0.0037692359822619824,248.0459073197108,0.003769803922535971,248.0832823371488
50,68710.89459274469,284,0.004133260113746038,0.003894191882503537,267.5734079626225,0.0038936058060281054,267.5331381236959
51,73926.29363449692,279,0.003774029324118687,0.0040201745309526,297.19660283712784,0.003971818566897537,293.62182563941406
52,80004.25256673511,341,0.004262273429972447,0.004194442154628247,335.5732095154389,0.004157979389624843,332.65603325482505
53,85347.0848733744,360,0.004218070254351577,0.004406805886518854,376.10803601721057,0.004383689591173151,374.13512759638286
54,90020.79945242984,441,0.004898867847013955,0.004666132177743019,420.048948991134,0.004706623996375135,423.6940548756799
55,93986.52156057495,463,0.004926238276640479,0.004917737236428454,462.2010168008252,0.004951256793507422,465.35140337492857
56,96857.41204654347,507,0.005234498726399672,0.005183784437425069,502.0879452161394,0.005185490008553989,502.25314242174795
57,97776.83299110198,519,0.005308005834543964,0.005495235430852445,537.3067169692458,0.005454218735958904,533.2962344427932
58,97780.30732375085,587,0.006003253784593266,0.005914632431403328,578.3345768496412,0.005893015104790713,576.2208280099418
59,96780.51950718685,603,0.006230592717114126,0.006427715594047915,622.0776544364033,0.006425691906885993,621.8818009415526
60,95548.24640657085,705,0.007378471364091065,0.0070642002273924,674.9719439922428,0.007140304582843047,682.2435816994546
61,93356.21765913758,745,0.007980186201631965,0.00774108131290704,722.678071964832,0.007804310001134682,728.5808631453136
62,90559.93429158111,763,0.008425359470152929,0.008548420960906696,774.144440516485,0.008491880494025094,769.0241395508718
63,87181.36755646818,797,0.009141861642440694,0.00979324767800898,853.7887253880294,0.009608205440272828,837.6564900464826
64,80862.66324435319,899,0.01111761552155876,0.011872500740278753,960.0420292294947,0.011681051677747991,944.5609481576225
65,72999.52703627653,1175,0.01609599469618609,0.014825315372281343,1082.241010340178,0.014764538163195558,1077.8043028223308
66,65164.67282683094,1180,0.018107970911413005,0.01764872246335699,1150.0732251362,0.01767071915077196,1151.5066320748706
67,57560.68514715948,1137,0.019753065779066895,0.02001269076202935,1151.9441919006385,0.020065400395223844,1154.9781945011691
