Edad,qx,origen,px,lx,dx,Lx,Tx,ex,qx_ref,ex_ref,dif_qx_pct,dif_ex_pct
66,0.01767071915077196,Graduación,0.982329280849228,8368923.441050782,147884.8957211204,8294980.9931902215,144091981.41311204,17.217505026550967,0.0408964,13.768820525869359,-56.79150450706673,25.047058273452656
67,0.020065400395223844,Graduación,0.9799345996047761,8221038.545329661,164958.43007660823,8138559.330291357,135797000.41992182,16.51822937833901,0.04178883,13.33460611123695,-51.983818653875105,23.874895445312422
68,0.022189225789706366,Graduación,0.9778107742102936,8056080.115253053,178758.18065731367,7966701.024924396,127658441.08963045,15.846222885485856,0.04278337,12.894339904466936,-48.13586262674875,22.89285843935533
69,0.024195688432061636,Graduación,0.9758043115679383,7877321.934595738,190597.2272085235,7782023.320991476,119691740.06470607,15.19447104720224,0.04391568,12.44831234228237,-44.90421546003242,22.060490044037323
70,0.02625229358110463,Graduación,0.9737477064188954,7686724.7073872145,201794.15369545974,7585827.630539484,111909716.74371459,14.558829801224102,0.04529994,11.997132410122958,-42.047840281676685,21.35258079622119
71,0.028111225764358025,Graduación,0.971888774235642,7484930.553691755,210410.57262537023,7379725.26737907,104323889.11317511,13.937856652754107,0.04683533,11.542664384165807,-39.978589316317354,20.75077459476356
72,0.029829242988053582,Graduación,0.9701707570119464,7274519.981066385,216993.42413668014,7166023.2689980455,96944163.84579603,13.326537571979397,0.04864091,11.085264049039719,-38.674578686842864,20.218494688304993
73,0.031621992435503204,Graduación,0.9683780075644968,7057526.556929706,223173.05139659412,6945940.031231408,89778140.57679799,12.72090722615076,0.05076533,10.626465453795912,-37.70947133505641,19.709674693448388
74,0.03363295689202149,Graduación,0.9663670431079785,6834353.50553311,229859.51683643105,6719423.747114895,82832200.54556659,12.119976012142981,0.0532563,10.16803159833586,-36.84698919748182,19.19687596296007
75,0.03591524884186035,Graduación,0.9640847511581396,6604493.98869668,237202.04507861208,6485892.966157374,76112776.79845169,11.524391865404915,0.05714919,9.711878461230702,-37.15527929291675,18.66285097584025
