"Edad","qx","lx","dx","Dx","Nx","Cx","Mx","Rx"
66,0.0408964,3366972.329845,137697.047190273,134507.2856,1291591.0392,5238.917863,73002.950438,10404288.1376
67,0.04178883,3229275.28265473,134947.63581006,122863.2589,1157083.7536,4889.820801,67764.032575,9112697.0984
68,0.04278337,3094327.64684467,132385.764616185,112122.8068,1034220.4947,4568.563359,62874.211774,7955613.3448
69,0.04391568,2961941.88222848,130075.691878544,102215.0621,922097.6879,4275.089485,58305.648415,6921392.8501
70,0.04529994,2831866.19034994,128283.368510881,93072.5887,819882.6258,4015.412081,54030.55893,5999295.1622
71,0.04683533,2703582.82183906,126623.193643163,84625.1486,726810.0371,3774.711202,50015.146849,5179412.5364
72,0.04864091,2576959.62819589,125345.66134871,76820.6684,642184.8884,3558.69259,46240.435647,4452602.4994
73,0.05076533,2451613.96684718,124456.992059606,69603.8488,565364.22,3365.20224,42681.743057,3810417.6109
74,0.0532563,2327156.97478758,123935.76999638,62924.1775,495760.3712,3191.532263,39316.540817,3245053.3909
75,0.05714919,2203221.2047912,125912.307244641,56736.2559,432836.1937,3088.029587,36125.008554,2749293.0197
76,0.06055723,2077308.89754656,125796.072689773,50946.4998,376099.9378,2938.265626,33036.978966,2316456.826
77,0.06444797,1951512.82485678,125771.039990985,45582.2104,325153.438,2797.79136,30098.713341,1940356.8882
78,0.06883571,1825741.7848658,125676.232037904,40613.8376,279571.2276,2662.554615,27300.921981,1615203.4502
79,0.07371979,1700065.55282789,125328.475540706,36017.2907,238957.39,2528.749626,24638.367366,1335632.2226
80,0.08005169,1574737.07728719,126060.3643425,31773.432,202940.0993,2422.397075,22109.61774,1096674.8325
81,0.08593481,1448676.71294469,124491.758078326,27838.0143,171166.6673,2278.337594,19687.220666,893734.7332
82,0.09222398,1324184.95486636,122121.606793896,24234.057,143328.653,2128.534467,17408.883072,722568.0658
83,0.09885844,1202063.34807247,118834.107371621,20951.5198,119094.596,1972.60435,15280.348605,579239.4128
84,0.10576601,1083229.24070084,114568.834704258,17981.2241,98143.0761,1811.240309,13307.744255,460144.8169
85,0.11424258,968660.405996586,110662.263924897,15313.735,80161.8521,1666.171996,11496.503946,362001.7408
86,0.121534,857998.142071689,104275.946198541,12918.3375,64848.1171,1495.254507,9830.33195,281839.8887
87,0.12964852,753722.195873148,97718.9671861038,10807.9241,51929.7795,1334.506059,8335.077443,216991.7716
88,0.13990696,656003.228687044,91779.4174757892,8958.755,41121.8554,1193.706833,7000.571384,165061.9921
