Edad,qx_ref,px_ref,lx_ref,dx_ref,Lx_ref,Tx_ref,ex_ref
74,0.027978799286682884,0.9720212007133171,7714583.158451761,215844.77377074593,7606660.771566388,97281685.1152011,12.61010259622693
75,0.029847078564192876,0.9701529214358071,7498738.384681015,223815.43369990305,7386830.667831063,89675024.34363471,11.958681546595834
76,0.03363234919110703,0.966367650808893,7274922.950981112,244672.74902579558,7152586.576468214,82288193.67580365,11.311211710456133
77,0.037238398237932346,0.9627616017620677,7030250.201955316,261795.25673271634,6899352.573588958,75135607.09933543,10.687472698829133
78,0.0418780979531035,0.9581219020468965,6768454.9452226,283450.0191871999,6626729.935629001,68236254.52574648,10.081511227892547
79,0.0460845629577462,0.9539154370422538,6485004.9260354005,298858.6177951726,6335575.617137814,61609524.59011748,9.500304979379928
80,0.051569120029456975,0.948430879970543,6186146.308240228,319014.12148942245,6026639.247495517,55273948.972979665,8.935118281853802
81,0.05703137883157961,0.9429686211684204,5867132.186750805,334610.63839753927,5699826.867552035,49247309.72548415,8.39376174900145
82,0.0663800734787865,0.9336199265212135,5532521.548353265,367249.18690265936,5348896.9549019355,43547482.85793211,7.871181788870549
83,0.07353993463399933,0.9264600653660007,5165272.361450607,379853.79182788095,4975345.465536666,38198585.90303018,7.395270419448424
84,0.08476330448420696,0.915236695515793,4785418.569622725,405627.8913013092,4582604.62397207,33223240.437493514,6.942598636698311
85,0.09356764964365125,0.9064323503563487,4379790.678321416,409806.7197017078,4174887.318470562,28640635.81352144,6.53927046223546
86,0.1013002452898692,0.8986997547101307,3969983.9586197077,402160.3488050223,3768903.7842171965,24465748.49505088,6.1626819528906065
87,0.10967187628276551,0.8903281237172345,3567823.6098146853,391289.909534326,3372178.6550475224,20696844.710833684,5.800971957778117
88,0.11873535363082785,0.8812646463691721,3176533.7002803595,377166.8522230306,2987950.2741688443,17324666.055786163,5.453953173629826
89,0.12854785273745886,0.8714521472625412,2799366.8480573287,359852.59734219784,2619440.54938623,14336715.781617317,5.12141371952252
90,0.13917127408227176,0.8608287259177283,2439514.250715131,339510.3064138833,2269759.0975081893,11717275.232231088,4.803118173544684
91,0.150672633709725,0.8493273662902749,2100003.9443012476,316413.1250886796,1941797.3817569078,9447516.134722898,4.49880875717424
92,0.16312448598842622,0.8368755140115738,1783590.819212568,290947.33559772617,1638117.1514137047,7505718.75296599,4.208206653743411
93,0.17660538130801098,0.823394618691989,1492643.4836148417,263608.871580717,1360839.0478244834,5867601.601552286,3.931013444243427
94,0.19120036160089954,0.8087996383991005,1229034.6120341248,234991.86224094592,1111538.6809136518,4506762.553727803,3.6669126398880216
95,0.20700149681484503,0.792998503185155,994042.7497931789,205768.33710513252,891158.5812406127,3395223.872814151,3.4155712855614744
96,0.22410846572052046,0.7758915342794795,788274.4126880465,176658.96919426246,699944.9280909152,2504065.2915735384,3.1766416000166466
97,0.2426291847180684,0.7573708152819316,611615.4434937839,148395.75641587665,537417.5652858457,1804120.3634826231,2.9497626043855103
98,0.26268048860933435,0.7373195113906656,463219.6870779073,121678.77373508766,402380.30021036346,1266702.7981967775,2.73456166379158
99,0.2843888676303175,0.7156111323696825,341540.91334281967,97130.43359498889,292975.6965453252,864322.497986414,2.530655813755629
100,0.30789126539328476,0.6921087346067152,244410.4797478308,75251.85188493943,206784.5538053611,571346.8014410888,2.3376526326963263
101,0.3333359427722275,0.6666640572277724,169158.6278628914,56386.65069673329,140965.30251452472,364562.2476357277,2.155150182059985
102,0.3608834131813378,0.6391165868186621,112771.97716615807,40697.53603093102,92423.20915069256,223596.94512120294,1.9827349909078522
103,0.3907074551465474,0.6092925448534525,72074.44113522705,28160.021477054197,57994.43039669995,131173.73597051037,1.819975762620211
104,0.42299620855776543,0.5770037914422346,43914.41965817285,18575.633016421714,34626.60314996199,73179.30557381043,1.6664072107392893
105,0.4579533615173345,0.5420466384826654,25338.786641751136,11603.982519360465,19536.7953820709,38552.702423848445,1.521489681764182
106,0.4957994352717381,0.5042005647282619,13734.80412239067,6809.708127449234,10329.950058666052,19015.90704177754,1.3845051500062926
107,0.5367731753323306,0.4632268246676694,6925.0959949414355,3717.2057666859196,5066.4931115984755,8685.95698311149,1.2542724302242607
108,0.5811330575607392,0.4188669424392608,3207.890228255516,1864.2110566653455,2275.784699922843,3619.4638715130136,1.1283004136588912
109,0.62915891871982,0.37084108128018,1343.6791715901704,845.3877347040151,1343.6791715901704,1343.6791715901704,1
