"Edad","qx","px","lx","dx","Dx","Cx","Nx","Mx","Rx"
20,0.000910473886868198,0.999089526113132,9952539.65999323,9061.52746844392,3751007.5257,3252.566097,72291790.7882,308540.15859,1247856184.5306
21,0.00102281338522278,0.998977186614777,9943478.13252479,10170.3225296164,3569135.5536,3476.723446,68540783.2625,305287.592493,1175564393.7424
22,0.00108070237428552,0.998919297625715,9933307.80999517,10734.9493347706,3395699.9943,3494.991473,64971647.7089,301810.869048,1107023610.4799
23,0.00113230230059095,0.998867697699409,9922572.8606604,11235.3520779071,3230505.0031,3483.72214,61575947.7145,298315.877575,1042051962.771
24,0.00116632861504719,0.998833671384953,9911337.50858249,11559.8765496503,3073187.7094,3413.663586,58345442.7114,294832.155435,980476015.0565
25,0.001220042926071,0.998779957073929,9899777.63203284,12078.1536696376,2923431.7739,3396.868815,55272255.002,291418.49185,922130572.345
26,0.0012915692609339,0.998708430739066,9887699.4783632,12770.6487076061,2780823.8683,3420.596789,52348823.2281,288021.623035,866858317.343
27,0.00136536542209233,0.998634634577908,9874928.8296556,13482.8863696345,2644983.0873,3439.398523,49567999.3599,284601.026246,814509494.1149
28,0.0014650842755859,0.998534915724414,9861445.94328596,14447.8493860486,2515592.1132,3510.051856,46923016.2726,281161.627723,764941494.755
29,0.00157842198911734,0.998421578010883,9846998.09389992,15542.7183182082,2392291.9607,3596.23451,44407424.1594,277651.575867,718018478.4824
30,0.00164230570516232,0.998357694294838,9831455.37558171,16146.2552533666,2274777.0614,3557.980329,42015132.1987,274055.341357,673611054.323
31,0.00169101102598338,0.998308988974017,9815309.12032834,16597.7959459105,2162896.3638,3483.315809,39740355.1374,270497.361028,631595922.1243
32,0.00175079838164562,0.998249201618354,9798711.32438243,17155.5679289414,2056417.9831,3428.92693,37577458.7735,267014.045219,591855566.9869
33,0.00185469327808667,0.998145306721913,9781555.75645349,18141.7857107243,1955064.3903,3453.375984,35521040.7904,263585.118288,554278108.2134
34,0.00194001239920241,0.998059987600798,9763413.97074277,18941.144161787,1858512.71,3433.84543,33565976.4001,260131.742305,518757067.4229
35,0.00205249047737714,0.997947509522623,9744472.82658098,20000.4376836177,1766578.2593,3453.223862,31707463.6901,256697.896875,485191091.0228
36,0.00221935273882753,0.997780647261172,9724472.38889736,21582.034429952,1679002.2612,3548.855492,29940885.4308,253244.673013,453483627.3327
37,0.00232809903733161,0.997671900962668,9702890.35446741,22589.2896935698,1595500.9171,3537.603952,28261883.1696,249695.817521,423542741.9019
38,0.00241625990032902,0.997583740099671,9680301.06477384,23390.1232859254,1515987.079,3488.589322,26666382.2525,246158.213569,395280858.7323
39,0.00255917723642091,0.997440822763579,9656910.94148791,24713.7466555999,1440308.6288,3510.481006,25150395.1735,242669.624247,368614476.4798
40,0.00263615317868004,0.99736384682132,9632197.19483231,25391.9472528302,1368212.0226,3435.063307,23710086.5447,239159.143241,343464081.3064
41,0.00266460543325276,0.997335394566747,9606805.24757948,25598.3454589014,1299624.0058,3298.081131,22341874.5221,235724.079934,319753994.7617
42,0.00275332187189771,0.997246678128102,9581206.90212058,26380.1465227859,1234439.0673,3236.960079,21042250.5163,232425.998803,297412120.2396
43,0.00290448088848522,0.997095519111515,9554826.7555978,27751.811704421,1172419.2945,3243.113747,19807811.449,229189.038724,276369869.7233
44,0.00303928042890993,0.99696071957109,9527074.94389337,28955.4524217333,1113346.6905,3222.640769,18635392.1545,225945.924977,256562058.2743
45,0.00318178248938672,0.996818217510613,9498119.49147164,30220.9502800672,1057107.5407,3203.32025,17522045.464,222723.284208,237926666.1198
46,0.00337560617448413,0.996624393825516,9467898.54119157,31959.8967750355,1003565.7661,3226.326473,16464937.9233,219519.963959,220404620.6558
47,0.00356320846013407,0.996436791539866,9435938.64441654,33622.216407091,952550.5936,3232.510794,15461372.1572,216293.637486,203939682.7324
48,0.00369179949578867,0.996308200504211,9402316.42800945,34711.4670481708,903958.5308,3178.31776,14508821.5636,213061.126691,188478310.5752
49,0.00376980392253597,0.996230196077464,9367604.96096128,35314.0339265993,857734.5687,3079.515373,13604863.0329,209882.808931,173969489.0116
50,0.00389360580602811,0.996106394193972,9332290.92703468,36336.2621370456,813810.55,3017.769031,12747128.4642,206803.293559,160364625.9787
51,0.00397181856689754,0.996028181433102,9295954.66489763,36921.8453350782,772039.8977,2920.383238,11933317.9142,203785.524527,147617497.5145
52,0.00415797938962484,0.995842020610375,9259032.81956255,38498.8676316011,732355.7098,2900.114235,11161278.0165,200865.141289,135684179.6003
53,0.00438368959117315,0.995616310408827,9220533.95193095,40419.9587101384,694581.5141,2899.837861,10428922.3067,197965.027054,124522901.5838
54,0.00470662399637514,0.995293376003625,9180113.99322081,43207.3448099523,658606.3661,2952.202406,9734340.7926,195065.189193,114093979.2771
55,0.00495125679350742,0.995048743206493,9136906.64841086,45239.1711145874,624291.9557,2943.837892,9075734.4265,192112.986787,104359638.4845
56,0.00518549000855399,0.994814509991446,9091667.47729627,47144.7508646151,591619.9295,2921.751651,8451442.4708,189169.148895,95283904.0579
57,0.0054542187359589,0.994545781264041,9044522.72643166,49330.8053123097,560525.8002,2911.647925,7859822.5413,186247.397244,86832461.5871
58,0.00589301510479071,0.994106984895209,8995191.92111935,53008.8018616477,530922.4475,2979.746669,7299296.7411,183335.749319,78972639.0458
59,0.00642569190688599,0.993574308093114,8942183.1192577,57459.7136993068,502660.6796,3076.135867,6768374.2935,180356.002649,71673342.3047
60,0.00714030458284305,0.992859695417157,8884723.4055584,63439.6312500015,475648.3209,3234.546557,6265713.614,177279.866782,64904968.0112
61,0.00780431000113468,0.992195689998865,8821283.77430839,68844.0331826821,449763.8543,3342.949091,5790065.2931,174045.320225,58639254.3973
62,0.00849188049402509,0.991508119505975,8752439.74112571,74324.6723127955,425003.5788,3437.218667,5340301.4388,170702.371133,52849189.1042
63,0.00960820544027283,0.990391794559727,8678115.06881292,83381.1124154819,401328.0945,3672.421696,4915297.8601,167265.152466,47508887.6653
64,0.011681051677748,0.988318948322252,8594733.95639743,100395.531501174,378544.8111,4211.239525,4513969.7656,163592.73077,42593589.8052
65,0.0147645381631956,0.985235461836804,8494338.42489626,125414.983845479,356307.6282,5010.207214,4135424.9545,159381.491246,38079620.0396
66,0.017670719150772,0.982329280849228,8368923.44105078,147884.89572112,334330.3911,5626.531852,3779117.3263,154371.284032,33944195.0851
67,0.0200654003952238,0.979934599604776,8221038.54532966,164958.430076608,312783.3644,5977.260423,3444786.9352,148744.75218,30165077.7588
68,0.0221892257897064,0.977810774210294,8056080.11525305,178758.180657314,291911.6581,6168.851135,3132003.5708,142767.491757,26720290.8236
69,0.0241956884320616,0.975804311567938,7877321.93459574,190597.227208523,271842.2518,6264.200407,2840091.9127,136598.640623,23588287.2528
70,0.0262522935811046,0.973747706418895,7686724.70738721,201794.15369546,252633.1822,6316.381399,2568249.661,130334.440216,20748195.3401
71,0.028111225764358,0.971888774235642,7484930.55369176,210410.57262537,234286.6493,6272.461802,2315616.4787,124018.058817,18179945.6791
72,0.0298292429880536,0.970170757011946,7274519.98106639,216993.42413668,216857.6804,6160.667088,2081329.8294,117745.597015,15864329.2004
73,0.0316219924355032,0.968378007564497,7057526.55692971,223173.051396594,200370.4571,6034.393408,1864472.149,111584.929927,13782999.371
74,0.0336329568920215,0.966367043107978,6834353.50553311,229859.516836431,184794.6134,5919.227871,1664101.6919,105550.536519,11918527.222
75,0.0359152488418603,0.96408475115814,6604493.98869668,237202.045078612,170075.642,5817.437147,1479307.0785,99631.308648,10254425.5302
76,0.0389505661138173,0.961049433886183,6367291.94361807,248009.625815872,156159.3647,5792.85301,1309231.4365,93813.871501,8775118.4516
77,0.0425882533336579,0.957411746666342,6119282.3178022,260609.545570733,142930.3515,5797.289542,1153072.0718,88021.01849,7465887.0151
78,0.0466768596394668,0.953323140360533,5858672.77223146,273464.446663014,130326.8548,5793.569816,1010141.7203,82223.728948,6312814.9433
79,0.0512375697952872,0.948762430204713,5585208.32556845,286172.501402533,118327.2442,5774.095653,879814.8655,76430.159132,5302673.223
80,0.0563764761150222,0.943623523884978,5299035.82416592,298740.966573737,106918.5179,5740.656449,761487.6213,70656.06348,4422858.3574
81,0.0623022568887904,0.93769774311121,5000294.85759218,311529.654737405,96086.5035,5701.339069,654569.1034,64915.407031,3661370.7361
82,0.0693257665270778,0.930674233472922,4688765.20285477,325052.241753397,85809.6166,5665.540426,558482.5999,59214.067962,3006801.6328
