Edad,qx,origen,px,lx,dx,Lx,Tx,ex
37,0.002328099037331615,Graduación,0.9976719009626683,9702890.354467409,22589.289693569786,9691595.709620625,411263122.04746854,42.38563015999811
38,0.0024162599003290245,Graduación,0.997583740099671,9680301.064773839,23390.123285925387,9668606.003130876,401571526.3378479,41.483371607020345
39,0.0025591772364209142,Graduación,0.997440822763579,9656910.941487914,24713.746655599927,9644554.068160113,391902920.33471704,40.58263793766887
40,0.002636153178680041,Graduación,0.99736384682132,9632197.194832314,25391.947252830178,9619501.221205898,382258366.2665569,39.68547970255831
41,0.0026646054332527566,Graduación,0.9973353945667472,9606805.247579483,25598.345458901385,9594006.074850034,372638865.045351,38.789051660981734
42,0.0027533218718977055,Graduación,0.9972466781281023,9581206.902120583,26380.146522785857,9568016.82885919,363044858.97050095,37.891349459340994
43,0.0029044808884852173,Graduación,0.9970955191115147,9554826.755597796,27751.811704421016,9540950.849745587,353476842.1416418,36.99458411787044
44,0.003039280428909926,Graduación,0.9969607195710901,9527074.943893375,28955.452421733266,9512597.217682507,343935891.2918962,36.10089070542589
45,0.003181782489386723,Graduación,0.9968182175106133,9498119.49147164,30220.950280067194,9483009.016331607,334423294.0742137,35.209421651779834
46,0.0033756061744841257,Graduación,0.9966243938255158,9467898.541191574,31959.896775035522,9451918.592804056,324940285.0578821,34.32021199257454
47,0.0035632084601340723,Graduación,0.996436791539866,9435938.644416539,33622.216407091044,9419127.536212994,315488366.46507806,33.43476238601443
48,0.0036917994957886735,Graduación,0.9963082005042113,9402316.428009449,34711.467048170845,9384960.694485363,306069238.928865,32.55253545999435
49,0.003769803922535971,Graduación,0.996230196077464,9367604.960961279,35314.03392659925,9349947.94399798,296684278.23437965,31.671305469304794
50,0.0038936058060281054,Graduación,0.9961063941939718,9332290.927034678,36336.26213704563,9314122.795966156,287334330.29038167,30.78925984379719
51,0.003971818566897537,Graduación,0.9960281814331025,9295954.664897632,36921.845335078186,9277493.742230093,278020207.4944155,29.907655266892064
52,0.004157979389624843,Graduación,0.9958420206103752,9259032.819562554,38498.8676316011,9239783.385746755,268742713.75218546,29.024922903867868
53,0.004383689591173151,Graduación,0.9956163104088268,9220533.951930953,40419.95871013836,9200323.972575884,259502930.3664387,28.14402416598595
54,0.004706623996375135,Graduación,0.9952933760036249,9180113.993220814,43207.34480995225,9158510.320815839,250302606.3938628,27.265740553843052
55,0.004951256793507422,Graduación,0.9950487432064926,9136906.648410862,45239.171114587414,9114287.062853567,241144096.07304695,26.392312557443933
56,0.005185490008553989,Graduación,0.994814509991446,9091667.477296274,47144.75086461508,9068095.101863967,232029809.0101934,25.521149952923224
57,0.005454218735958904,Graduación,0.9945457812640411,9044522.72643166,49330.805312309676,9019857.323775506,222961713.90832943,24.651573184370186
58,0.005893015104790713,Graduación,0.9941069848952093,8995191.921119351,53008.80186164773,8968687.520188527,213941856.58455393,23.7840235606592
59,0.006425691906885993,Graduación,0.993574308093114,8942183.119257703,57459.71369930677,8913453.26240805,204973169.0643654,22.922050055420957
60,0.007140304582843047,Graduación,0.9928596954171569,8884723.405558396,63439.631250001505,8853003.589933395,196059715.80195734,22.067059023953394
61,0.007804310001134682,Graduación,0.9921956899988653,8821283.774308395,68844.03318268209,8786861.757717054,187206712.21202394,21.222161875945467
62,0.008491880494025094,Graduación,0.991508119505975,8752439.741125712,74324.67231279548,8715277.404969316,178419850.4543069,20.385156108639382
63,0.009608205440272828,Graduación,0.9903917945597271,8678115.068812918,83381.11241548188,8636424.512605175,169704573.0493376,19.555464718279143
64,0.011681051677747991,Graduación,0.988318948322252,8594733.956397435,100395.53150117389,8544536.190646848,161068148.5367324,18.74032975934553
65,0.014764538163195558,Graduación,0.9852354618368044,8494338.42489626,125414.98384547929,8431630.93297352,152523612.34608555,17.955914247429845
66,0.01767071915077196,Graduación,0.982329280849228,8368923.441050782,147884.8957211204,8294980.9931902215,144091981.41311204,17.217505026550967
67,0.020065400395223844,Graduación,0.9799345996047761,8221038.545329661,164958.43007660823,8138559.330291357,135797000.41992182,16.51822937833901
68,0.022189225789706366,Graduación,0.9778107742102936,8056080.115253053,178758.18065731367,7966701.024924396,127658441.08963045,15.846222885485856
69,0.024195688432061636,Graduación,0.9758043115679383,7877321.934595738,190597.2272085235,7782023.320991476,119691740.06470607,15.19447104720224
70,0.02625229358110463,Graduación,0.9737477064188954,7686724.7073872145,201794.15369545974,7585827.630539484,111909716.74371459,14.558829801224102
71,0.028111225764358025,Graduación,0.971888774235642,7484930.553691755,210410.57262537023,7379725.26737907,104323889.11317511,13.937856652754107
72,0.029829242988053582,Graduación,0.9701707570119464,7274519.981066385,216993.42413668014,7166023.2689980455,96944163.84579603,13.326537571979397
73,0.031621992435503204,Graduación,0.9683780075644968,7057526.556929706,223173.05139659412,6945940.031231408,89778140.57679799,12.72090722615076
74,0.03363295689202149,Graduación,0.9663670431079785,6834353.50553311,229859.51683643105,6719423.747114895,82832200.54556659,12.119976012142981
75,0.03591524884186035,Graduación,0.9640847511581396,6604493.98869668,237202.04507861208,6485892.966157374,76112776.79845169,11.524391865404915
76,0.03895056611381727,Graduación,0.9610494338861827,6367291.943618068,248009.62581587158,6243287.130710132,69626883.83229432,10.935085818089634
77,0.04258825333365793,Graduación,0.9574117466663421,6119282.317802196,260609.5455707334,5988977.545016829,63383596.70158418,10.35801151340719
78,0.04667685963946685,Graduación,0.9533231403605331,5858672.772231462,273464.4466630141,5721940.548899955,57394619.15656735,9.796522418627381
79,0.05123756979528721,Graduación,0.9487624302047128,5585208.325568448,286172.50140253257,5442122.0748671815,51672678.607667394,9.251701207118051
80,0.05637647611502221,Graduación,0.9436235238849778,5299035.824165916,298740.9665737368,5149665.340879047,46230556.53280021,8.724333646126471
81,0.06230225688879037,Graduación,0.9376977431112097,5000294.857592179,311529.6547374054,4844530.030223477,41080891.19192117,8.215693746449
82,0.06932576652707782,Graduación,0.9306742334729222,4688765.202854774,325052.24175339675,4526239.081978075,36236361.16169769,7.728337759296421
83,0.07741552689194076,Graduación,0.9225844731080592,4363712.961101377,337819.1380888541,4194803.39205695,31710122.079719614,7.266775418637103
84,0.08662243932431904,Graduación,0.913377560675681,4025893.8230125234,348732.74341005314,3851527.451307497,27515318.687662665,6.834586280040867
85,0.09487563734138273,HP_Cola,0.9051243626586173,3677161.0796024706,348873.00103421137,3502724.579085365,23663791.236355167,6.43534257109928
86,0.10288242917970894,HP_Cola,0.8971175708202911,3328288.0785682593,342422.36253296846,3157076.897301775,20161066.657269802,6.0574884689496455
87,0.11156493416567503,HP_Cola,0.888435065834325,2985865.7160352906,333117.91203702334,2819306.7600167794,17003989.759968027,5.694827355647582
88,0.12098017741834408,HP_Cola,0.8790198225816559,2652747.8039982677,320929.89997383306,2492282.8540113512,14184682.999951249,5.347166051206167
89,0.1311899965489076,HP_Cola,0.8688100034510924,2331817.9040244343,305911.18278164644,2178862.3126336113,11692400.145939898,5.014285260337111
90,0.14226144779890798,HP_Cola,0.8577385522010921,2025906.7212427878,288208.4232695377,1881802.5096080191,9513537.833306286,4.695940703267043
91,0.1542672464534793,HP_Cola,0.8457327535465207,1737698.2979732503,268069.93159523094,1603663.3321756348,7631735.323698267,4.391864417775788
92,0.16728624442216028,HP_Cola,0.8327137555778397,1469628.3663780193,245848.61010765345,1346704.0613241927,6028071.991522633,4.101766221605501
93,0.18140394812394472,HP_Cola,0.8185960518760553,1223779.7562703658,221998.47942160314,1112780.5165595643,4681367.930198439,3.8253353237886047
94,0.1967130800779434,HP_Cola,0.8032869199220566,1001781.2768487628,197063.48053333504,903249.5365820951,3568587.4136388754,3.5622420743022323
95,0.21331418788808393,HP_Cola,0.786685812111916,804717.7963154275,171657.72320011395,718888.9347153705,2665337.8770567803,3.3121398448755572
96,0.23131630462154926,HP_Cola,0.7686836953784507,633060.0731153135,146437.11671648212,559841.5147570726,1946448.9423414096,3.074667041885706
97,0.25083766491820103,HP_Cola,0.749162335081799,486622.9563988315,122063.36607867444,425591.2733594943,1386607.427584337,2.84944926940086
98,0.2720064815342643,HP_Cola,0.7279935184657357,364559.590320157,99162.57147255875,314978.3045838777,961016.1542248428,2.6361016956950065
99,0.2949617874204723,HP_Cola,0.7050382125795277,265397.0188475983,78281.97905535236,226256.0293199221,646037.8496409651,2.4342317500255954
100,0.3198543488652873,HP_Cola,0.6801456511347127,187115.03979224592,59849.55921565114,157190.26018442033,419781.820321043,2.243442434061566
101,0.3468476557005571,HP_Cola,0.6531523442994429,127265.48057659477,44141.733589596675,105194.61378179642,262591.5601366227,2.063336884023173
102,0.37611899507309876,HP_Cola,0.6238810049269012,83123.74698699809,31264.42018346024,67491.53689526796,157396.94635482624,1.8935256417091701
103,0.4078606158345457,HP_Cola,0.5921393841654543,51859.32680353784,21151.376966855907,41283.638320109894,89905.4094595583,1.7336401183947678
104,0.4422809911969606,HP_Cola,0.5577190088030394,30707.94983668194,13581.542491394233,23917.178590984822,48621.77113944841,1.5833610318513565
105,0.479606187947107,HP_Cola,0.520393812052893,17126.407345287706,8213.93094010277,13019.44187523632,24704.59254846358,1.4424853999085219
106,0.5200813512121307,HP_Cola,0.4799186487878693,8912.476405184936,4635.212771454815,6594.8700194575285,11685.150673227263,1.3111003207177403
107,0.5639723145283226,HP_Cola,0.43602768547167736,4277.263633730121,2412.2582713625998,3071.134498048821,5090.280653769734,1.1900787722384547
108,0.6115673457876037,HP_Cola,0.38843265421239626,1865.0053623675212,1140.5763793427532,1294.7171726961446,2019.1461557209127,1.0826489813185942
109,0.6631790405287907,HP_Cola,0.33682095947120927,724.4289830247682,480.42611789361337,724.4289830247682,724.4289830247682,1
