Edad,qx,px,lx,dx,Dx,Cx,Nx,Mx,Rx
39,0.0013168524014038159,0.9986831475985962,9779750.40754581,12878.487809306647,1458629.8853345755,1829.3335878687699,26238460.117119495,209177.0772948032,395399563.0327575
40,0.0014827726570440924,0.9985172273429559,9766871.919736505,14482.050627437033,1387341.9857783937,1959.155011887101,24779830.231784917,207347.74370693442,369161102.91563797
41,0.0013615148789662406,0.9986384851210338,9752389.869109066,13278.023912271621,1319318.9266818208,1710.7355702657808,23392488.246006526,205388.5886950473,344381272.6838531
42,0.0013552614107096722,0.9986447385892904,9739111.845196795,13199.042458380687,1254783.4803171826,1619.5805996855781,22073169.319324706,203677.85312478154,320988784.43784654
43,0.001563490723527785,0.9984365092764722,9725912.802738415,15206.374444921632,1193412.305416679,1777.037208440843,20818385.839007523,202058.27252509596,298915615.11852187
44,0.0016354831594448643,0.9983645168405552,9710706.428293493,15881.696829786995,1134806.1108074437,1767.577412819711,19624973.533590842,200281.2353166551,278097229.2795143
45,0.0015677607269910156,0.998432239273009,9694824.731463706,15199.165469050018,1079000.147165698,1611.0610048989595,18490167.4227834,198513.6579038354,258472255.7459235
46,0.0017053048266453508,0.9982946951733547,9679625.565994656,16506.712197810422,1026008.1267719562,1666.3396292967352,17411167.2756177,196902.59689893643,239982088.32314008
47,0.0016488241601752564,0.9983511758398247,9663118.853796845,15932.78382878527,975484.2572963758,1531.811439334172,16385159.148845745,195236.25726963973,222570921.0475224
48,0.0018224205078248576,0.9981775794921751,9647186.06996806,17581.229736712085,927500.8145572142,1609.8061956888832,15409674.89154937,193704.44583030554,206185761.89867663
49,0.0017122461139401435,0.9982877538860598,9629604.840231348,16488.25346646532,881724.3029064198,1437.8371535410467,14482174.076992154,192094.63963461664,190776087.00712726
50,0.0019494849921788424,0.9980505150078212,9613116.586764883,18740.626513963638,838299.5941859063,1556.4309312524176,13600449.774085736,190656.8024810756,176293912.9301351
51,0.002071527209390424,0.9979284727906096,9594375.960250918,19875.010858781152,796824.1349600869,1572.0408349226734,12762150.179899829,189100.3715498232,162693463.15604937
52,0.002127740431076133,0.9978722595689239,9574500.949392138,20372.052777398472,757308.0876984934,1534.6238447400326,11965326.044939741,187528.3307149005,149931312.97614956
53,0.0023235049064940453,0.997676495093506,9554128.89661474,22199.06536856089,719711.1739633488,1592.6213752023148,11208017.957241248,185993.70687016047,137965986.9312098
54,0.0024384335056086112,0.9975615664943914,9531929.831246179,23242.977073620918,683846.5919232251,1588.1089928017632,10488306.783277899,184401.08549495818,126757968.97396857
55,0.0027822753523094336,0.9972177246476905,9508686.854172558,26455.785067193032,649694.3595055079,1721.5510504634651,9804460.191354675,182812.9765021564,116269662.19069067
56,0.0030860727556073493,0.9969139272443927,9482231.069105364,29262.854964739614,617034.9818119248,1813.5379491680549,9154765.831849167,181091.42545169295,106465201.99933599
57,0.003539534170248916,0.9964604658297511,9452968.214140626,33459.104004227614,585838.8256812367,1974.8538492926048,8537730.850037241,179277.88750252489,97310436.16748682
58,0.00397858474433402,0.996021415255666,9419509.110136399,37476.315244704,555966.8848947423,2106.6298729496475,7951892.024356005,177303.0336532323,88772705.31744957
59,0.004480664804647245,0.9955193351953527,9382032.794891695,42037.744140117444,527385.6414553764,2250.5126496623006,7395925.139461263,175196.40378028265,80820813.29309358
60,0.005350962211572618,0.9946490377884274,9339995.050751578,49977.96057284697,500021.5268316485,2548.1869476657093,6868539.498005887,172945.89113062032,73424888.15363231
61,0.005859502952971398,0.9941404970470286,9290017.09017873,54434.882573057024,473662.79098723753,2643.265259526088,6368517.971174238,170397.70418295462,66556348.65562642
62,0.006741909456222516,0.9932580905437774,9235582.207605673,62265.459019177106,448464.15472831915,2879.5283100378024,5894855.180187001,167754.43892342853,60187830.68445218
63,0.007511095922627669,0.9924889040773723,9173316.748586494,68901.66202728012,424229.1904788375,3034.6915646335556,5446391.025458681,164874.91061339073,54292975.50426518
64,0.00852476614713684,0.9914752338528632,9104415.086559216,77613.00951938193,400993.10889140225,3255.592838011983,5022161.834979844,161840.2190487572,48846584.4788065
65,0.01059882720449765,0.9894011727955023,9026802.077039832,95673.51542374566,378642.6061061805,3822.064337504832,4621168.726088442,158584.6262107452,43824422.643826656
66,0.012504897414568185,0.9874951025854318,8931128.561616087,111682.84645932908,356789.9414779052,4249.163444505705,4242526.119982261,154762.56187324037,39203253.917738214
67,0.013680315524147014,0.9863196844758529,8819445.715156758,120652.80013143086,335550.7808201659,4371.848148565492,3885736.1785043557,150513.39842873465,34960727.79775596
68,0.015151704760451263,0.9848482952395488,8698792.915025327,131801.54202076897,315200.32406111626,4548.402143402473,3550185.39768419,146141.55028016918,31074991.619251598
69,0.01676607696469318,0.9832339230353068,8566991.37300456,143634.83671565694,295642.3826767083,4720.726611412347,3234985.0736230738,141593.1481367667,27524806.221567407
70,0.01887709619419523,0.9811229038058048,8423356.5362889,159008.5116135287,276843.447366405,4977.143225398334,2939342.6909463652,136872.42152535435,24289821.147944335
71,0.02046809223605569,0.9795319077639443,8264348.024675372,169155.43763992016,258683.28283784454,5042.622183857793,2662499.2435799604,131895.27829995603,21350478.45699797
72,0.02269995768376317,0.9773000423162368,8095192.587035452,183760.52916761808,241322.4090902798,5217.150928088702,2403815.960742116,126852.65611609822,18687979.213418007
73,0.024881576176883066,0.975118423823117,7911432.057867833,196848.89941607325,224613.71487217778,5322.6126256807465,2162493.551651836,121635.50518800953,16284163.252675893
74,0.027978799286682884,0.9720212007133171,7714583.158451761,215844.77377074593,208595.2110621076,5558.3271833047265,1937879.8367796584,116312.89256232878,14121669.701024055
75,0.029847078564192876,0.9701529214358071,7498738.384681015,223815.43369990305,193103.7785901311,5489.127286306808,1729284.6257175507,110754.56537902405,12183789.864244398
76,0.03363234919110703,0.966367650808893,7274922.950981112,244672.74902579558,178419.2332757228,5714.91233898923,1536180.8471274197,105265.43809271725,10454505.238526847
77,0.037238398237932346,0.9627616017620677,7030250.201955316,261795.25673271634,164208.16697122293,5823.665824376464,1357761.6138516967,99550.52575372801,8918324.391399426
78,0.0418780979531035,0.9581219020468965,6768454.9452226,283450.0191871999,150565.06462440727,6005.12240443456,1193553.446880474,93726.85992935154,7560562.77754773
79,0.0460845629577462,0.9539154370422538,6485004.9260354005,298858.6177951726,137390.1772378581,6030.063116851408,1042988.3822560667,87721.73752491699,6367009.330667256
80,0.051569120029456975,0.948430879970543,6186146.308240228,319014.12148942245,124817.72472872773,6130.228788894741,905598.2050182085,81691.67440806558,5324020.94841119
81,0.05703137883157961,0.9429686211684204,5867132.186750805,334610.63839753927,112743.79476227448,6123.746733330608,780780.4802894808,75561.44561917083,4418422.743392982
