"edad","Exposicion","Muertes","TasaBruta","qx_WH","Dx_esperadas","residuo","residuo_std"
75,19802.0978781656,668,0.0337337995251784,0.0359152488418603,711.197272885191,-43.1972728851912,-1.61979960466168
76,17329.5208761123,679,0.039181694915522,0.0389505661138172,674.994648605787,4.00535139421311,0.154166658160382
77,15073.7371663244,656,0.043519400183356,0.0425882533336579,641.964137124398,14.0358628756023,0.553966794209385
78,13110.4661190965,617,0.0470616371984888,0.0466768596394669,611.955386849054,5.04461315094625,0.203923833489662
79,11259.0150581793,581,0.0516030928991361,0.0512375697952875,576.884569869655,4.11543013034532,0.171344737855964
80,9545.77754962355,540,0.0565695143421078,0.0563764761150226,538.157300025671,1.84269997432909,0.079432825648284
81,7999.77070499658,475,0.0593767018476317,0.0623022568887907,498.40376951412,-23.4037695141196,-1.04832309422265
82,6546.24435318275,462,0.0705748174180785,0.0693257665270782,453.823407657952,8.17659234204842,0.383821147539654
83,5209.45585215606,401,0.0769754099814545,0.0774155268919411,403.292769614967,-2.2927696149672,-0.114169526434909
84,4056.3401779603,363,0.0894895359053766,0.0866224393243193,351.370080944164,11.6299190558355,0.620432161997447
